Price,Area,Bedrooms
1.80 Cr,3000 sqft,  3 Bedroom Independent House  for sale in Lal Bagh Road Bangalore 
1.75 Cr,2000 sqft,  3 Bedroom Independent House  for sale in Bannerghatta Main Road Bangalore 
1.30 Cr,2200 sqft,  6 Bedroom Independent House  for sale in Nri Layout Bangalore 
98 Lac,1100 sqft,  2 Bedroom Independent House  for sale in Kariobanahalli Bangalore 
95 Lac,1800 sqft,"  4 Bedroom Independent House  for sale in Vishweshwaraiah Layout, Annapurneshwari Nagar Bangalore "
75 Lac,2300 sqft,  2 Bedroom Independent House  for sale in Kamala Nagar Bangalore 
45.5 Lac,1080 sqft,"  2 Bedroom Independent House  for sale in Basavanapura-Kr Puram, Krishnarajapura Bangalore "
2.70 Cr,1600 sqft,"  3 Bedroom Independent House  for sale in Jp Nagar Phase 7, J P Nagar Bangalore "
3.50 Cr,1440 sqft,"  2 Bedroom Independent House  for sale in Anand Nagar-Hebbal, Hebbal Bangalore "
85 Lac,2300 sqft,  3 Bedroom Independent House  for sale in Hesaraghatta Main Road Bangalore 
85 Lac,1200 sqft,  3 Bedroom Independent House  for sale in Sunkadakatte Bangalore 
1.30 Cr,2300 sqft,"  5 Bedroom Independent House  for sale in Nagarbhavi Stage 2, Nagarbhavi Stage 2 Bangalore "
2.75 Cr,1800 sqft,"  3 Bedroom Independent House  for sale in Banashankari Stage 2, Banashankari Bangalore "
89 Lac,1800 sqft,"  5 Bedroom Independent House  for sale in Jp Nagar Phase 9, J P Nagar Bangalore "
1.20 Cr,2100 sqft,"  4 Bedroom Independent House  for sale in Nagarbhavi Stage 2, Nagarbhavi Stage 2 Bangalore "
5 Cr,2500 sqft,"  3 Bedroom Independent House  for sale in Indira Nagar Stage 1, Indira nagar Bangalore "
70 Lac,200 sqft,"  2 Bedroom Independent House  for sale in Jp Nagar Phase 6, J P Nagar, Outer Ring Road Bangalore "
93 Lac,1800 sqft,"  5 Bedroom Independent House  for sale in Banashankari Stage 6, Srinivaspura Bangalore "
65 Lac,1000 sqft,  3 Bedroom Independent House  for sale in Seegehalli Bangalore 
99 Lac,2000 sqft,  4 Bedroom Independent House  for sale in Hebbal Kempapura Bangalore 
70 Lac,1800 sqft,"  4 Bedroom Independent House  for sale in Neeladri Nagar, Electronic City Bangalore "
2.45 Cr,1500 sqft,  > 10 Bedroom Independent House  for sale in Marathahalli Bangalore 
1.60 Cr,1500 sqft,"  4 Bedroom Independent House  for sale in Judicial Layout, Yelahanka Bangalore "
69 Lac,1200 sqft,  3 Bedroom Independent House  for sale in Thambuchetty Palya Bangalore 
72 Lac,750 sqft,  3 Bedroom Independent House  for sale in Horamavu Bangalore 
1.20 Cr,1450 sqft,  4 Bedroom Independent House  for sale in Dodda Bomma Sandra Bangalore 
85 Lac,2200 sqft,  4 Bedroom Independent House  for sale in Thanisandra Main Road Bangalore 
1.15 Cr,1800 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Horamavu Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.20 Cr,2800 sqft,"  			            		 			            			 			            				5 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Jp Nagar Phase 1, J P Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    "
70 Lac,600 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Begur Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
82 Lac,1800 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Anjanapura Bangalore 		                		 						            	         		    		 		           			 		           			                    
48 Lac,700 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Margondanahalli Bangalore 		                		 						            	         		    		 		           			 		           			                    
70 Lac,2350 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Nagasandra Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.40 Cr,1100 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				J P Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.25 Cr,4500 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hebbal Kempapura Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.35 Cr,2000 sqft,"  			            		 			            			 			            				5 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Vyalikaval, Malleshwaram Bangalore 		                		 						            	         		    		 		           			 		           			                    "
2.50 Cr,2280 sqft,"  			            		 			            			 			            				8 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hsr Layout Sector 1, HSR Layout Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1.60 Cr,1200 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Nagarbhavi Stage 2, Nagarbhavi Stage 2 Bangalore 		                		 						            	         		    		 		           			 		           			                    "
