Price,Area,Bedrooms
8.50 Cr,2400 sqft,"  			            		 			            			 			            				10 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Vijaya Bank Colony -Bilekahalli, Bilekahalli Bangalore 		                		 						            	         		    		 		           			 		           			                    "
4.62 Cr,2801 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Frazer Town Bangalore 		                		 						            	         		    		 		           			 		           			                    
87 Lac,1000 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Anandapura Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.50 Cr,3800 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Sarjapur Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
5.87 Cr,4900 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Godrej Woodsman Estate, Hebbal Kempapura Bangalore 		                		 						            	         		    		 		           			 		           			                    "
2.72 Cr,5550 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				 Bangalore 		                		 						            	         		    		 		           			 		           			                    
94 Lac,1250 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				 Bangalore 		                		 						            	         		    		 		           			 		           			                    
3 Cr,3800 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hennur Main Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
2 Cr,2200 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Ramamurthy Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.69 Cr,2500 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Sarjapur Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.30 Cr,2500 sqft,"  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Kirloskar Layout, Soundarya Layout Bangalore 		                		 						            	         		    		 		           			 		           			                    "
7.80 Cr,4000 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hsr Layout Sector 7, HSR Layout Bangalore 		                		 						            	         		    		 		           			 		           			                    "
7.50 Cr,7000 sqft,"  			            		 			            			 			            				9 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Ideal Homes Township, Rajarajeshwari Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    "
8.20 Cr,8180 sqft,  			            		 			            			 			            				> 10 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Madhava Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.50 Cr,3400 sqft,  			            		 			            			 			            				> 10 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Gottigere Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.15 Cr,1200 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Shikaripalya, Electronic City Bangalore 		                		 						            	         		    		 		           			 		           			                    "
99 Lac,600 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Sultan Palya, Hebbal Bangalore 		                		 						            	         		    		 		           			 		           			                    "
2 Cr,1269 sqft,  			            		 			            			 			            				5 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hebbal Kempapura Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.60 Cr,650 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Mico Layout-Btm Layout Stage 2, BTM Layout Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1.80 Cr,2700 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Electronic City Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.25 Cr,4000 sqft,  			            		 			            			 			            				6 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Jp Nagar Phase 8 Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.38 Cr,750 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Vasanthapura, Subramanyapura Bangalore 		                		 						            	         		    		 		           			 		           			                    "
2.30 Cr,3200 sqft,"  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Baba Nagar, Kattigenahalli, Bagalur Main Road Bangalore 		                		 						            	         		    		 		           			 		           			                    "
2.20 Cr,1250 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Ksrtc Layout-Uttarahalli Bangalore 		                		 						            	         		    		 		           			 		           			                    
2 Cr,4400 sqft,  			            		 			            			 			            				5 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Jigani Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.78 Cr,2500 sqft,  4 Bedroom Independent House  for sale in Banaswadi Bangalore 
80 Lac,1200 sqft,  3 Bedroom Independent House  for sale in K R Puram Bangalore 
2.45 Cr,1500 sqft,  3 Bedroom Independent House  for sale in Rajajinagar Bangalore 
2.25 Cr,2447 sqft,  4 Bedroom Independent House  for sale in Harlur Bangalore 
2.20 Cr,2830 sqft,"  4 Bedroom Independent House  for sale in Electronics City Phase 1, Electronic City Bangalore "
3 Cr,4500 sqft,  6 Bedroom Independent House  for sale in Haralur Road Bangalore 
8.50 Cr,2400 sqft,"  10 Bedroom Independent House  for sale in Vijaya Bank Colony -Bilekahalli, Bilekahalli Bangalore "
4.62 Cr,2801 sqft,  4 Bedroom Independent House  for sale in Frazer Town Bangalore 
87 Lac,1000 sqft,  2 Bedroom Independent House  for sale in Anandapura Bangalore 
2.50 Cr,3800 sqft,  4 Bedroom Independent House  for sale in Sarjapur Road Bangalore 
5.87 Cr,4900 sqft,"  4 Bedroom Independent House  for sale in Godrej Woodsman Estate, Hebbal Kempapura Bangalore "
2.72 Cr,5550 sqft,  3 Bedroom Independent House  for sale in Bangalore 
94 Lac,1250 sqft,  3 Bedroom Independent House  for sale in Bangalore 
3 Cr,3800 sqft,  4 Bedroom Independent House  for sale in Hennur Main Road Bangalore 
2 Cr,2200 sqft,  3 Bedroom Independent House  for sale in Ramamurthy Nagar Bangalore 
1.69 Cr,2500 sqft,  4 Bedroom Independent House  for sale in Sarjapur Road Bangalore 
2.30 Cr,2500 sqft,"  3 Bedroom Independent House  for sale in Kirloskar Layout, Soundarya Layout Bangalore "
7.80 Cr,4000 sqft,"  2 Bedroom Independent House  for sale in Hsr Layout Sector 7, HSR Layout Bangalore "
7.50 Cr,7000 sqft,"  9 Bedroom Independent House  for sale in Ideal Homes Township, Rajarajeshwari Nagar Bangalore "
8.20 Cr,8180 sqft,  > 10 Bedroom Independent House  for sale in Madhava Nagar Bangalore 
2.50 Cr,3400 sqft,  > 10 Bedroom Independent House  for sale in Gottigere Bangalore 
1.15 Cr,1200 sqft,"  2 Bedroom Independent House  for sale in Shikaripalya, Electronic City Bangalore "
99 Lac,600 sqft,"  2 Bedroom Independent House  for sale in Sultan Palya, Hebbal Bangalore "
2 Cr,1269 sqft,  5 Bedroom Independent House  for sale in Hebbal Kempapura Bangalore 
2.60 Cr,650 sqft,"  2 Bedroom Independent House  for sale in Mico Layout-Btm Layout Stage 2, BTM Layout Bangalore "
1.80 Cr,2700 sqft,  3 Bedroom Independent House  for sale in Electronic City Bangalore 
2.25 Cr,4000 sqft,  6 Bedroom Independent House  for sale in Jp Nagar Phase 8 Bangalore 
1.38 Cr,750 sqft,"  4 Bedroom Independent House  for sale in Vasanthapura, Subramanyapura Bangalore "
2.30 Cr,3200 sqft,"  3 Bedroom Independent House  for sale in Baba Nagar, Kattigenahalli, Bagalur Main Road Bangalore "
2.20 Cr,1250 sqft,  3 Bedroom Independent House  for sale in Ksrtc Layout-Uttarahalli Bangalore 
2 Cr,4400 sqft,  5 Bedroom Independent House  for sale in Jigani Bangalore 
1.78 Cr,2500 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Banaswadi Bangalore 		                		 						            	         		    		 		           			 		           			                    
95 Lac,1500 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				K R Puram Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.45 Cr,1500 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Rajajinagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.25 Cr,2447 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Harlur Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.20 Cr,2830 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Electronics City Phase 1, Electronic City Bangalore 		                		 						            	         		    		 		           			 		           			                    "
3 Cr,4500 sqft,  			            		 			            			 			            				6 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Haralur Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
8.50 Cr,2400 sqft,"  			            		 			            			 			            				10 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Vijaya Bank Colony -Bilekahalli, Bilekahalli Bangalore 		                		 						            	         		    		 		           			 		           			                    "
4.62 Cr,2801 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Frazer Town Bangalore 		                		 						            	         		    		 		           			 		           			                    
87 Lac,1000 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Anandapura Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.50 Cr,3800 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Sarjapur Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
5.87 Cr,4900 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Godrej Woodsman Estate, Hebbal Kempapura Bangalore 		                		 						            	         		    		 		           			 		           			                    "
2.72 Cr,5550 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				 Bangalore 		                		 						            	         		    		 		           			 		           			                    
94 Lac,1250 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				 Bangalore 		                		 						            	         		    		 		           			 		           			                    
3 Cr,3800 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hennur Main Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
2 Cr,2200 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Ramamurthy Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.69 Cr,2500 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Sarjapur Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.30 Cr,2500 sqft,"  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Kirloskar Layout, Soundarya Layout Bangalore 		                		 						            	         		    		 		           			 		           			                    "
7.80 Cr,4000 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hsr Layout Sector 7, HSR Layout Bangalore 		                		 						            	         		    		 		           			 		           			                    "
7.50 Cr,7000 sqft,"  			            		 			            			 			            				9 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Ideal Homes Township, Rajarajeshwari Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    "
8.20 Cr,8180 sqft,  			            		 			            			 			            				> 10 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Madhava Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.50 Cr,3400 sqft,  			            		 			            			 			            				> 10 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Gottigere Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.15 Cr,1200 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Shikaripalya, Electronic City Bangalore 		                		 						            	         		    		 		           			 		           			                    "
99 Lac,600 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Sultan Palya, Hebbal Bangalore 		                		 						            	         		    		 		           			 		           			                    "
2 Cr,1269 sqft,  			            		 			            			 			            				5 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hebbal Kempapura Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.60 Cr,650 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Mico Layout-Btm Layout Stage 2, BTM Layout Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1.80 Cr,2700 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Electronic City Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.25 Cr,4000 sqft,  			            		 			            			 			            				6 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Jp Nagar Phase 8 Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.38 Cr,750 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Vasanthapura, Subramanyapura Bangalore 		                		 						            	         		    		 		           			 		           			                    "
2.30 Cr,3200 sqft,"  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Baba Nagar, Kattigenahalli, Bagalur Main Road Bangalore 		                		 						            	         		    		 		           			 		           			                    "
2.20 Cr,1250 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Ksrtc Layout-Uttarahalli Bangalore 		                		 						            	         		    		 		           			 		           			                    
2 Cr,4400 sqft,  			            		 			            			 			            				5 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Jigani Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.78 Cr,2500 sqft,  4 Bedroom Independent House  for sale in Banaswadi Bangalore 
95 Lac,1500 sqft,  3 Bedroom Independent House  for sale in K R Puram Bangalore 
2.45 Cr,1500 sqft,  3 Bedroom Independent House  for sale in Rajajinagar Bangalore 
2.25 Cr,2447 sqft,  4 Bedroom Independent House  for sale in Harlur Bangalore 
2.20 Cr,2830 sqft,"  4 Bedroom Independent House  for sale in Electronics City Phase 1, Electronic City Bangalore "
3 Cr,4500 sqft,  6 Bedroom Independent House  for sale in Haralur Road Bangalore 
8.50 Cr,2400 sqft,"  10 Bedroom Independent House  for sale in Vijaya Bank Colony -Bilekahalli, Bilekahalli Bangalore "
4.62 Cr,2801 sqft,  4 Bedroom Independent House  for sale in Frazer Town Bangalore 
87 Lac,1000 sqft,  2 Bedroom Independent House  for sale in Anandapura Bangalore 
2.50 Cr,3800 sqft,  4 Bedroom Independent House  for sale in Sarjapur Road Bangalore 
5.87 Cr,4900 sqft,"  4 Bedroom Independent House  for sale in Godrej Woodsman Estate, Hebbal Kempapura Bangalore "
2.72 Cr,5550 sqft,  3 Bedroom Independent House  for sale in Bangalore 
94 Lac,1250 sqft,  3 Bedroom Independent House  for sale in Bangalore 
3 Cr,3800 sqft,  4 Bedroom Independent House  for sale in Hennur Main Road Bangalore 
2 Cr,2200 sqft,  3 Bedroom Independent House  for sale in Ramamurthy Nagar Bangalore 
1.69 Cr,2500 sqft,  4 Bedroom Independent House  for sale in Sarjapur Road Bangalore 
2.30 Cr,2500 sqft,"  3 Bedroom Independent House  for sale in Kirloskar Layout, Soundarya Layout Bangalore "
7.80 Cr,4000 sqft,"  2 Bedroom Independent House  for sale in Hsr Layout Sector 7, HSR Layout Bangalore "
7.50 Cr,7000 sqft,"  9 Bedroom Independent House  for sale in Ideal Homes Township, Rajarajeshwari Nagar Bangalore "
8.20 Cr,8180 sqft,  > 10 Bedroom Independent House  for sale in Madhava Nagar Bangalore 
2.50 Cr,3400 sqft,  > 10 Bedroom Independent House  for sale in Gottigere Bangalore 
1.15 Cr,1200 sqft,"  2 Bedroom Independent House  for sale in Shikaripalya, Electronic City Bangalore "
99 Lac,600 sqft,"  2 Bedroom Independent House  for sale in Sultan Palya, Hebbal Bangalore "
2 Cr,1269 sqft,  5 Bedroom Independent House  for sale in Hebbal Kempapura Bangalore 
2.60 Cr,650 sqft,"  2 Bedroom Independent House  for sale in Mico Layout-Btm Layout Stage 2, BTM Layout Bangalore "
1.80 Cr,2700 sqft,  3 Bedroom Independent House  for sale in Electronic City Bangalore 
2.25 Cr,4000 sqft,  6 Bedroom Independent House  for sale in Jp Nagar Phase 8 Bangalore 
1.38 Cr,750 sqft,"  4 Bedroom Independent House  for sale in Vasanthapura, Subramanyapura Bangalore "
2.30 Cr,3200 sqft,"  3 Bedroom Independent House  for sale in Baba Nagar, Kattigenahalli, Bagalur Main Road Bangalore "
2.20 Cr,1250 sqft,  3 Bedroom Independent House  for sale in Ksrtc Layout-Uttarahalli Bangalore 
2 Cr,4400 sqft,  5 Bedroom Independent House  for sale in Jigani Bangalore 
1.78 Cr,2500 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Banaswadi Bangalore 		                		 						            	         		    		 		           			 		           			                    
80 Lac,1200 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				K R Puram Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.45 Cr,1500 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Rajajinagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.25 Cr,2447 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Harlur Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.20 Cr,2830 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Electronics City Phase 1, Electronic City Bangalore 		                		 						            	         		    		 		           			 		           			                    "
3 Cr,4500 sqft,  			            		 			            			 			            				6 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Haralur Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
8.50 Cr,2400 sqft,"  			            		 			            			 			            				10 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Vijaya Bank Colony -Bilekahalli, Bilekahalli Bangalore 		                		 						            	         		    		 		           			 		           			                    "
4.62 Cr,2801 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Frazer Town Bangalore 		                		 						            	         		    		 		           			 		           			                    
87 Lac,1000 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Anandapura Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.50 Cr,3800 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Sarjapur Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
5.87 Cr,4900 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Godrej Woodsman Estate, Hebbal Kempapura Bangalore 		                		 						            	         		    		 		           			 		           			                    "
2.72 Cr,5550 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				 Bangalore 		                		 						            	         		    		 		           			 		           			                    
94 Lac,1250 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				 Bangalore 		                		 						            	         		    		 		           			 		           			                    
3 Cr,3800 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hennur Main Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
2 Cr,2200 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Ramamurthy Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.69 Cr,2500 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Sarjapur Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.30 Cr,2500 sqft,"  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Kirloskar Layout, Soundarya Layout Bangalore 		                		 						            	         		    		 		           			 		           			                    "
